feature,main,hardened,change,pct_change
vuln_critical_count,3.0,0.0,-3.0,-100.0
vuln_high_count,7.0,0.0,-7.0,-100.0
vuln_medium_count,36.0,0.0,-36.0,-100.0
vuln_low_count,5.0,0.0,-5.0,-100.0
container_vulnerabilities,51.0,0.0,-51.0,-100.0
container_misconfigurations,333.0,0.0,-333.0,-100.0
sast_code_smells,64.0,0.0,-64.0,-100.0
iac_misconfigurations,333.0,0.0,-333.0,-100.0
security_risk_score,100.0,0.0,-100.0,-100.0
pipeline_runs_total,3.0,0.0,-3.0,-100.0
pipeline_runs_failed,3.0,0.0,-3.0,-100.0
test_failures_count,1.0,0.0,-1.0,-100.0
change_failure_rate,1.0,0.0,-1.0,-100.0
workflows_concurrent_count,3.0,0.0,-3.0,-100.0
artifacts_generated_count,13.0,0.0,-13.0,-100.0
artifacts_size_mb,0.0591650009155273,0.0,-0.0591650009155273,-100.0
main_branch_runs,3.0,0.0,-3.0,-100.0
push_triggered_runs,2.0,0.0,-2.0,-100.0
