,value
vuln_critical_count,3.0
vuln_high_count,7.0
vuln_medium_count,36.0
vuln_low_count,5.0
secrets_detected_count,0.0
secrets_verified_count,0.0
container_vulnerabilities,51.0
container_misconfigurations,333.0
npm_vulnerabilities,0.0
python_vulnerabilities,0.0
sast_code_smells,64.0
sast_security_issues,0.0
iac_misconfigurations,333.0
vuln_new_count,0.0
vuln_fixed_count,0.0
vuln_age_avg_days,0.0
scans_failed_count,0.0
scan_duration_avg_seconds,0.0
cve_count,0.0
cwe_count,0.0
security_risk_score,100.0
pipeline_runs_total,3.0
pipeline_runs_success,0.0
pipeline_runs_failed,3.0
pipeline_runs_cancelled,0.0
pipeline_success_rate,0.0
pipeline_duration_avg_seconds,180.0
pipeline_duration_max_seconds,420.0
pipeline_duration_std_seconds,45.0
build_failures_count,0.0
test_failures_count,1.0
lint_failures_count,0.0
test_coverage_percent,0.0
test_coverage_delta,0.0
deployments_count,2.0
deployments_per_day,0.25
lead_time_hours,2.0
mttr_hours,4.0
change_failure_rate,1.0
stage_checkout_seconds,10.0
stage_build_seconds,60.0
stage_test_seconds,45.0
stage_security_scan_seconds,50.0
stage_docker_build_seconds,70.0
workflows_concurrent_count,3.0
workflow_queue_time_seconds,5.0
artifacts_generated_count,13.0
artifacts_size_mb,0.059165000915527344
job_retry_count,0.0
workflow_rerun_count,0.0
main_branch_runs,3.0
feature_branch_runs,0.0
push_triggered_runs,2.0
schedule_triggered_runs,0.0
manual_triggered_runs,0.0
pipeline_duration_anomaly_score,0.0
commits_count,16.0
commits_per_day_avg,2.0
commit_time_variance,0.0
unique_authors_count,3.0
new_authors_count,0.0
lines_added_total,800.0
lines_deleted_total,480.0
lines_changed_total,1280.0
files_changed_count,48.0
commit_size_avg_lines,80.0
commit_size_max_lines,500.0
large_commits_count,1.0
branches_created_count,2.0
branches_deleted_count,0.0
pull_requests_count,4.0
pull_requests_merged_count,2.0
cyclomatic_complexity_avg,0.0
code_duplication_percent,0.0
commit_message_length_avg,50.0
commits_no_message_count,0.0
commits_unusual_hours_count,3.0
force_push_count,0.0
binary_files_changed_count,1.0
code_review_time_avg_hours,4.0
commits_without_review_count,4.0
containers_started_count,6.0
containers_stopped_count,3.0
containers_restarted_count,1.0
containers_killed_count,0.0
images_pulled_count,3.0
images_pushed_count,3.0
unique_images_count,3.0
container_cpu_total_cores,1.5
container_memory_total_mb,1536.0
container_cpu_throttled_count,0.0
pods_created_count,3.0
pods_deleted_count,0.0
pods_evicted_count,0.0
pods_failed_count,0.0
scale_up_events_count,0.0
scale_down_events_count,0.0
replica_count_avg,1.0
liveness_probe_failures,0.0
readiness_probe_failures,0.0
unsigned_images_count,0.0
images_from_unknown_registries,0.0
network_policy_violations,0.0
container_exit_code_0_count,3.0
container_exit_nonzero_count,0.0
deployments_successful_count,1.0
deployments_failed_count,0.0
deployment_success_rate,0.8
rollbacks_count,0.0
rollback_rate,0.1
deployment_duration_avg_seconds,120.0
deployment_duration_max_seconds,300.0
time_between_deployments_hours,96.0
prod_deployments_count,0.0
staging_deployments_count,1.0
blue_green_deployments_count,0.0
canary_deployments_count,0.0
rolling_update_count,2.0
argocd_sync_count,0.0
argocd_out_of_sync_count,0.0
argocd_sync_failures,0.0
config_drift_detected_count,0.0
deployments_unusual_hours_count,0.0
emergency_deployments_count,0.0
deployments_without_notes_count,0.0
