vuln_critical_count,vuln_high_count,vuln_medium_count,vuln_low_count,secrets_detected_count,secrets_verified_count,container_vulnerabilities,container_misconfigurations,npm_vulnerabilities,python_vulnerabilities,sast_code_smells,sast_security_issues,iac_misconfigurations,vuln_new_count,vuln_fixed_count,vuln_age_avg_days,scans_failed_count,scan_duration_avg_seconds,cve_count,cwe_count,security_risk_score,pipeline_runs_total,pipeline_runs_success,pipeline_runs_failed,pipeline_runs_cancelled,pipeline_success_rate,pipeline_duration_avg_seconds,pipeline_duration_max_seconds,pipeline_duration_std_seconds,build_failures_count,test_failures_count,lint_failures_count,test_coverage_percent,test_coverage_delta,deployments_count,deployments_per_day,lead_time_hours,mttr_hours,change_failure_rate,stage_checkout_seconds,stage_build_seconds,stage_test_seconds,stage_security_scan_seconds,stage_docker_build_seconds,workflows_concurrent_count,workflow_queue_time_seconds,artifacts_generated_count,artifacts_size_mb,job_retry_count,workflow_rerun_count,main_branch_runs,feature_branch_runs,push_triggered_runs,schedule_triggered_runs,manual_triggered_runs,pipeline_duration_anomaly_score,commits_count,commits_per_day_avg,commit_time_variance,unique_authors_count,new_authors_count,lines_added_total,lines_deleted_total,lines_changed_total,files_changed_count,commit_size_avg_lines,commit_size_max_lines,large_commits_count,branches_created_count,branches_deleted_count,pull_requests_count,pull_requests_merged_count,cyclomatic_complexity_avg,code_duplication_percent,commit_message_length_avg,commits_no_message_count,commits_unusual_hours_count,force_push_count,binary_files_changed_count,code_review_time_avg_hours,commits_without_review_count,containers_started_count,containers_stopped_count,containers_restarted_count,containers_killed_count,images_pulled_count,images_pushed_count,unique_images_count,container_cpu_total_cores,container_memory_total_mb,container_cpu_throttled_count,pods_created_count,pods_deleted_count,pods_evicted_count,pods_failed_count,scale_up_events_count,scale_down_events_count,replica_count_avg,liveness_probe_failures,readiness_probe_failures,unsigned_images_count,images_from_unknown_registries,network_policy_violations,container_exit_code_0_count,container_exit_nonzero_count,deployments_successful_count,deployments_failed_count,deployment_success_rate,rollbacks_count,rollback_rate,deployment_duration_avg_seconds,deployment_duration_max_seconds,time_between_deployments_hours,prod_deployments_count,staging_deployments_count,blue_green_deployments_count,canary_deployments_count,rolling_update_count,argocd_sync_count,argocd_out_of_sync_count,argocd_sync_failures,config_drift_detected_count,deployments_unusual_hours_count,emergency_deployments_count,deployments_without_notes_count,cpu_usage_avg_percent,cpu_usage_max_percent,cpu_usage_std,cpu_throttling_count,memory_usage_avg_mb,memory_usage_max_mb,memory_usage_percent,memory_oom_count,disk_usage_percent,disk_io_read_mb,disk_io_write_mb,disk_iops_avg,network_rx_mb,network_tx_mb,network_errors_count,network_dropped_packets,load_avg_1min,load_avg_5min,load_avg_15min,process_count,thread_count,file_descriptors_open,container_cpu_avg_percent,container_memory_avg_mb,container_restart_count,pod_pending_count,pod_failed_count,node_count_total,node_ready_count,node_not_ready_count,cpu_limit_hit_count,memory_limit_hit_count,service_uptime_percent,health_check_failures,http_response_time_avg_ms,http_response_time_p95_ms,http_response_time_p99_ms,http_5xx_count,http_4xx_count,resource_spike_count,requests_total_count,requests_per_second_avg,requests_per_second_max,requests_get_count,requests_post_count,requests_put_count,requests_delete_count,status_2xx_count,status_3xx_count,status_4xx_count,status_5xx_count,error_rate_percent,unique_endpoints_count,endpoint_diversity_score,unique_user_agents_count,bot_requests_count,unique_ips_count,requests_per_ip_avg,requests_per_ip_max,unique_countries_count,request_size_avg_bytes,response_size_avg_bytes,auth_attempts_count,auth_failures_count,auth_failure_rate,suspicious_payloads_count,sql_injection_attempts,rate_limit_hits_count,network_ingress_mb,network_egress_mb,network_total_mb,connections_established_count,connections_closed_count,connections_active_avg,http_traffic_percent,https_traffic_percent,dns_queries_count,unique_external_ips_count,external_connections_suspicious,bandwidth_utilization_percent,network_latency_avg_ms,network_latency_p99_ms,network_anomalies_count,label,synthetic,source,date,branch,timestamp
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,143.34968385350228,452.4794464519634,54.4025043974027,0,0,0,0,0,2,0.27429166918708486,1.704807643871226,4.5407352942981545,0.0,9.30378493259259,54.305957303979824,34.82432225733194,47.57780277861077,62.910705400671525,0,4.903366854654297,0,0.0,0,0,0.0,0,0.0,0,0,0,3,0.604291365594013,0,0,0,65170,312,65745,208,13617.603604474934,48680.20378603906,2,0,0,0,0,0,0,235.76668160418575,0,9,0,156,0,3,13,4,0,0,4,3,3,1,1601,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0.7215781203188137,0,0.11850047330050703,113.49880548753717,299.27350851466605,91.89011854731496,0,1,0,0,1,0,0,0,0,0,0,0,23.219997956087344,58.88532762812048,4.510946589237373,0,1560.2297927387324,3122.58868107691,13.546916383530856,0,59.5541415714118,7.377299495983638,2.693777195643105,62.76603838080032,2.0272055639904165,1.1257273648434876,0,0,1.6977304576628784,1.0392256765868568,1.1246411301045753,88,232,685.2775256953848,25.432538907119095,576.5112440044657,0,0,0,1,2,0,0,0,100.0,0,21.833973118505053,72.71922868926652,136.64631977665363,0,3,0,2440,0.027514206232796937,4.992760570667625,1706,522,106,119,2151,112,101,16,4.71908218240517,14,2.500381532134907,10,250,15,229.78173797272973,750.0452926257004,1,486.53635208315893,2296.5528559035934,126,16,9.657472961712605,0,0,0,729.0037040176524,425.98014077096406,1103,3597,3388,10.903757621137267,15.949382613780902,81.27476810925984,1422,12,0,2.2658476498806457,5.626013604395672,33.32495350041349,0,0,True,secured,2025-12-04,hardened,2025-12-04
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,174.35294184367993,501.24598627781523,49.213908995981036,0,0,0,0,0,1,0.1994086505496958,2.376426724888753,4.118630775412122,0.0,10.144639806102395,54.890803936673244,41.50829433152813,52.544976279897774,82.49156020040336,0,3.8695560138724563,0,0.0,0,0,0.0,0,0.0,0,0,0,6,0.6833507563847598,0,2,0,65771,321,66430,195,13974.224407276,48624.576676535195,1,0,0,0,0,0,0,248.69600669520057,0,3,0,154,0,6,6,5,0,0,1,2,2,0,1493,0,5,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0.6622125314504171,0,0.08066709928334427,126.85231379402587,327.48085639840684,94.56399805524684,0,3,0,0,2,0,0,0,0,0,0,0,22.24174183649306,47.55719060223466,5.43429607599536,0,1797.8783672626025,1737.5921981335682,24.1954413719346,0,45.12734338469183,8.98679438344837,4.150670514170592,47.15241371509981,1.8004939251225474,1.3653588596511654,0,0,1.6747991126703243,1.2033694528857588,1.0104227939128407,78,249,697.1593442474691,25.341679677907205,574.8703921861289,0,0,0,0,0,0,0,0,99.32596918835942,0,24.969593999459583,76.79975863189244,143.88345845944235,3,4,0,2465,0.0313646495528218,5.343176777507266,1658,506,117,106,2154,127,103,29,4.580553662987132,7,2.7740174768693495,6,246,10,250.20771139992266,845.8974658122145,3,491.99452598230073,2105.7369678082687,115,12,9.827263174832996,0,0,0,755.4360406055629,302.23583804595285,1075,3548,3440,9.358333179869618,23.33070383524706,68.57872619503688,1416,11,0,2.0071132148065987,5.931269595995574,28.659549530861835,0,0,True,secured,2025-11-22,hardened,2025-11-22
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,177.0374648506877,391.68880251875146,49.255907108089914,0,0,0,1,0,3,0.2644568949560888,2.1779297748985704,3.721591935359619,0.0,8.323659971156983,74.29463352784266,56.78937678116502,52.255091446938245,62.44318243851806,0,4.775677359574739,0,0.0,0,0,0.0,0,0.0,0,0,0,4,0.6256124880180509,0,1,0,65682,320,66013,201,12628.545471176112,49458.57485644746,2,0,0,0,0,0,0,229.61863599715542,0,4,0,122,0,11,8,3,2,0,2,2,3,2,1481,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0.7998985717210003,0,0.10600938380711727,141.30521979655788,427.77341040737844,77.36544054600908,0,0,0,0,3,0,0,0,0,0,0,0,21.486318108788907,41.75514694346489,4.253072306627805,0,1415.1529581328414,1952.677808362177,15.89863634543951,0,41.45749576170291,8.657351539463036,5.135053165812226,46.85585216633225,1.361773101511109,1.5103145466773806,0,0,1.4824854003327634,1.271648707321363,0.8863550061339296,78,269,692.8307980654895,27.71206935039027,529.7509185792852,0,0,0,1,1,0,0,0,89.27464400383225,0,28.46038392546486,49.96668759214599,134.64435085827986,1,6,0,2489,0.02521093664627475,5.468028083968008,1615,462,131,119,2110,118,84,32,5.388468351465758,7,2.7492648391134105,7,222,10,267.05640214453166,825.2823314905005,3,497.1287594891372,2341.746620283305,121,12,10.284754593385568,0,0,0,566.7849192145603,479.59876165656345,1081,3578,3365,10.25431562655371,18.59649911573843,62.12108149979716,1460,16,0,1.6841268601273995,5.811705571613265,26.659592238539435,0,0,True,secured,2025-11-30,hardened,2025-11-30
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,202.97273606045775,396.00525330878986,42.84863827472916,0,0,0,0,0,3,0.27077799994984764,1.6037451609454167,3.450466070040536,0.0,9.262558449758465,71.19866331412709,61.13694574107619,50.73090716871299,60.917786285779165,0,4.329355136189571,0,0.0,0,0,0.0,0,0.0,0,0,0,4,0.6347703434752289,0,0,0,65190,312,65585,198,14328.934032735733,48906.148712176524,3,0,0,0,0,0,0,240.28749138821203,0,4,0,144,0,5,8,1,0,0,4,1,5,4,1588,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0.8160676074492568,0,0.10100791072644807,151.26698784445324,303.867200704606,124.67428346254711,0,0,0,0,0,0,0,0,0,0,0,0,31.74519798147861,62.0459457936839,5.182538096882675,0,1535.7153404220971,2063.7287220857997,16.351024013319886,0,46.32393173821576,11.47542576010749,3.926082791354223,68.9603749515394,1.9503363170132724,1.3814430500906807,0,0,1.64550556104957,1.0930892889546175,1.0719250983055333,79,262,692.6851268781879,28.414663337964974,595.4936296773824,0,0,0,2,0,0,0,0,100.0,0,25.648001235475263,71.06156812040474,137.34169726215967,2,6,0,2369,0.023938455640901406,4.55302230461871,1752,509,102,124,2117,128,95,27,4.347395951097345,4,2.4000442648284555,4,240,12,252.86040804011841,724.1175804378142,5,535.3712512731498,2223.8177632091297,114,10,10.83560802511997,0,0,0,753.745426394443,428.71889351418855,1090,3631,3516,8.716504864325843,22.52094592470612,77.44412597512675,1435,19,0,2.324168035380631,5.00574144680444,29.013904179574105,0,0,True,secured,2025-11-24,hardened,2025-11-24
4,5,39,5,1,0,43.56884077233593,290.4406526453772,0,0,60.733856107470416,0,340.05126561210153,0,1,2,0,0,0,0,99.45420120720598,4,0,2.919823165673092,0,0,159.71411602904655,422.32954935018853,47.715274926557626,1,0,0,2,0,2,0.3113475836485893,2.606487606907776,3.7488467142232844,0.9114045686705404,9.864169584373762,81.5500673903644,50.51742507541915,41.722480114290335,87.07365149468151,5,4.90058493974099,14,0.05320720676868853,0,0,3.4992951294373906,0,2.1449447715788517,0,0,0,6,0.6242639952851801,0,2,0,65421,320,65580,170,13041.706282066356,51681.78617037409,0,0,0,0,0,0,0,248.8720950912091,1,5,0,137,0,6,7,5,1,0,4,1,2,0,1526,0,8,2,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0.774061119132144,0,0.1080292396908066,116.22994384978739,298.322881730181,90.8549104004097,0,1,0,0,4,0,0,0,2,0,0,0,14.23721491005376,51.05749479444353,3.472780077528626,0,1112.795903768298,2043.7521388780299,22.580187357860243,0,63.795984955829326,12.683401525883985,2.6693452364531005,60.859266963227974,2.422087540532417,1.5001336482562635,0,1,1.3054247067172686,1.1949358326825548,1.1931439151127057,97,237,721.012404975548,26.789881044209753,564.6179631872757,0,0,2,1,0,0,0,0,100.0,0,29.469216497131537,68.2813398364648,123.0693742795212,2,4,0,2466,0.027213942673900877,5.248082452798968,1602,441,131,114,2140,99,95,26,5.022133986674557,12,2.567133496616202,7,248,12,276.3122223840957,730.8626553559825,8,505.9648478934223,2418.545940425341,112,10,9.781954104607626,0,0,2,589.2831100588435,469.38844250220734,1114,3656,3489,10.17183933979353,21.106502439969567,66.18304045781362,1402,11,0,1.820986031544679,6.0445139862434605,27.685892138128803,2,1,True,vulnerable,2025-11-30,main,2025-11-30
5,10,40,11,0,0,40.02007657856541,294.38017691149895,2,0,66.13670378603862,0,380.66451383497844,0,0,0,1,2,2,0,97.43629060828465,2,0,3.1979163598969182,1,2,230.60096470191854,556.319252402314,42.92702530309462,0,2,0,0,1,2,0.273957210742625,2.681216999185838,3.7977013182952253,0.8941092412943399,12.488829482383876,80.5382833386723,45.02495270060845,61.21030835513971,85.60268327945396,1,6.01387373643908,9,0.06913438804977386,0,0,2.8994586656485644,0,2.068467566897924,2,0,0,9,0.6118963892083837,0,1,0,65896,300,65853,187,13320.20486094611,49238.75675570542,5,0,0,0,0,0,0,234.2980387495752,0,1,0,144,0,6,4,3,0,2,3,3,3,1,1494,0,4,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0.7606751073121533,0,0.10344945001546285,159.67048633422664,382.86265125809297,133.90963763702814,0,1,0,0,1,0,0,0,1,0,0,0,21.78429655319977,62.462673431229845,4.437909674695805,0,1916.3866953665838,1899.8818124495376,11.803773378690899,2,52.51890679394278,8.63521801142821,4.323170783612988,46.393520879338084,2.215567674057494,1.5888554414193041,0,1,1.5562825435735743,1.2462792000563085,0.8334715332867548,71,294,698.2399322844697,27.497041611945377,582.2523825445054,0,0,0,1,2,0,0,0,100.0,0,23.428206491152714,78.62230604846995,121.12175711092902,5,8,0,2409,0.03003587290249289,5.139309596032959,1730,520,114,118,2130,113,90,26,4.286333205242268,11,2.7183791061174376,7,233,13,204.18554912016327,689.1479996528099,3,469.9920336428499,1763.657699169957,108,14,9.782716303063177,0,0,2,693.0869532246742,242.6059264525099,1095,3646,3547,9.051083479175162,23.494726395831115,81.99143673195289,1496,13,0,1.9526889425562108,4.497724825492114,22.536223944029604,0,1,True,vulnerable,2025-12-01,main,2025-12-01
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,154.55699089243245,397.4826717101552,50.88258535488159,0,0,0,0,0,2,0.2528645154275211,1.7214429899016153,4.877441046244028,0.0,9.594522620134663,56.83122933138781,44.577462657857396,48.89274997317126,77.26311674761358,0,4.712155187009252,0,0.0,0,0,0.0,0,0.0,0,0,0,7,0.5917174686252308,0,1,0,65490,331,65646,205,13017.13977581207,52113.33251685757,0,0,0,0,0,0,0,246.83493100442175,0,8,0,151,0,5,8,6,1,0,4,5,3,0,1559,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0.8552204743298243,0,0.07504292616217535,150.1763814409891,287.4614168636666,71.4169215290291,0,0,0,0,1,0,0,0,0,0,0,0,23.7961276573747,41.39453427451372,4.346322946251942,0,1951.346493227313,3271.4069854475565,18.59531951632799,0,64.43209039142963,13.00988437823041,5.781879842604122,64.9178216342406,1.8069266945410603,1.2865015384271081,0,0,1.3954432947960866,1.2354231674050102,1.0312387243411645,77,271,661.9257527162518,25.11200614096985,576.7093166033982,0,0,0,0,0,0,0,0,84.42643352505831,0,25.909288164012377,66.1134582190023,155.0472508631922,0,5,0,2414,0.02679975625707248,4.646280227593906,1572,450,122,139,2177,130,108,31,6.104927832874232,8,2.4056533706344476,6,235,6,272.2764967483367,718.1483785281287,2,401.3262779781869,1715.175166180859,109,15,10.08291185317204,0,0,0,383.26633916499395,315.69460079317673,1068,3599,3534,10.342571831531457,18.088723630611515,73.04685350135595,1510,18,0,2.0741196827960424,3.7068777495950296,25.419362508804667,0,0,True,secured,2025-12-05,hardened,2025-12-05
0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,179.93775450597374,419.2669708493545,46.650314288417924,0,0,0,0,0,3,0.2601726681464158,1.4340584746626446,3.5327288688599197,0.0,11.156049038643467,49.36488279260075,43.569622986792986,52.54504816451537,67.42670231081706,0,4.7311600736337445,0,0.0,0,0,0.0,0,0.0,0,0,0,4,0.6282200489303559,0,3,0,65363,310,65821,184,13785.03204839692,46493.994313050905,4,0,0,0,0,0,0,261.5701838744119,0,0,0,167,0,2,4,3,1,0,2,2,1,2,1548,0,5,0,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0.6922196865934921,0,0.09101200189756163,105.45531248493367,340.5599525354801,69.03828284857177,0,1,0,0,2,0,0,0,0,0,0,0,18.528478148495118,37.555135501111344,5.44982721372651,0,1409.5898906968225,2553.497440998791,14.707853020681549,0,39.23383505852159,11.89361513302374,5.055002936033374,54.2243497290144,1.813524555221511,1.3898388197364755,0,0,1.5431345857750993,1.0968463783345854,0.9109431189408985,81,295,605.374981045005,27.908440137908876,566.7221668553877,0,0,0,1,2,0,0,0,80.30645438024133,0,25.079223065763475,63.29637295446566,148.49386946984293,1,6,0,2354,0.024792608223797533,4.78550964131379,1698,485,122,105,2223,125,93,22,5.482384947151223,12,3.1667263055800023,4,261,11,242.33173889006994,685.4611147518367,2,510.45106371965846,2439.5787200619925,120,16,11.164060152585938,0,0,0,999.220708914909,421.3929870595448,1066,3524,3373,8.87388602422126,17.025280166548512,78.08005479956098,1434,13,0,1.7243251055358624,5.9458881565546395,30.36810971953786,0,0,True,secured,2025-12-01,hardened,2025-12-01
2,5,40,4,0,0,41.53060896781336,351.9063106669661,0,0,62.70835137961889,0,343.65220847114114,0,0,0,0,0,0,0,92.74486934400888,3,0,2.834531757322797,0,0,192.34078227261065,504.42762622278343,38.55397006598625,0,0,0,1,0,3,0.22845287677512652,2.021490767725243,3.4825969499183618,0.9304305122802936,8.713434634731174,72.26082647622479,42.40337838923307,61.911062052612436,76.63955869474098,1,7.063804061119294,15,0.050411869033873964,1,0,3.194849209457772,0,1.9272161213020726,0,0,0,2,0.5683364598124049,0,1,0,65575,304,65991,231,12460.024781338081,51739.62185242491,2,0,0,0,0,2,0,232.06021869874124,0,7,0,150,2,4,8,1,0,0,1,1,1,1,1618,0,4,0,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0.8251225299482937,0,0.08988577928628905,111.09428829910998,290.76971646889365,110.03421481275849,0,3,0,0,0,0,1,0,0,0,0,0,20.80390354015568,43.28924573093456,4.870754742047482,0,731.3686342911305,1660.2306415209384,19.083428721799045,0,54.827021827386986,12.482784662626377,4.651017948931665,41.575025086332985,2.1612764843042087,1.5606980444652423,0,0,1.581313488720056,1.3336433085220414,0.8054931267136288,79,236,532.0882873729702,25.269260369479326,540.2314009390795,0,0,0,1,0,0,0,0,100.0,1,24.051020524246745,70.86338709995927,132.21582428325257,1,7,0,2374,0.030371500812603633,5.454825769779413,1738,507,121,114,2097,137,84,19,4.644906525279144,4,2.2753081938681503,13,232,13,191.9292235038681,713.3514218645867,2,445.91161005308965,1744.5318030342478,105,12,9.911681121187717,2,0,0,597.282965089692,254.6808258879993,1070,3532,3392,11.44586465964203,20.032631203371555,80.92783893782139,1396,9,0,2.2601053717192015,4.617182810387031,24.381355268625818,0,1,True,vulnerable,2025-12-04,main,2025-12-04
4,5,30,4,0,0,41.73815442968365,285.9702867455348,0,2,64.91177345527458,0,331.84608226522096,2,0,0,1,0,0,0,115.58385269030009,3,0,2.66967067309505,1,0,147.48536397309158,432.58718793558256,50.2712064474817,0,0,0,0,0,2,0.25428420702974924,2.105788379289936,3.2947839378549064,1.0324083969394795,9.438742399884749,54.206794598054074,49.3241556218142,61.44994309212108,80.49437127392306,2,3.9877011780026836,6,0.06567106234843388,0,1,2.9783969635259,0,2.2007065795784047,0,2,2,2,0.5818525929914922,0,0,0,65874,309,65568,183,12971.680005307871,53093.74827578672,2,0,0,0,0,0,0,245.97788842688217,0,3,0,136,0,3,6,2,0,0,5,3,4,3,1502,2,2,0,0,1,1,0,0,0,0,0,0,0,2,2,1,2,0.8683198229195922,0,0.11788593857325463,103.51168172174424,254.5994213388077,62.32917766243703,0,0,0,0,3,0,0,0,0,0,2,2,18.885700507443087,30.636237900153997,4.152642471887356,0,1797.157042828449,2485.7118496349935,18.732390019974154,0,30.862692148251462,9.976833360436013,5.190598705114523,56.06975709568625,1.8604395268908993,1.6818388089297254,0,2,1.20836556093756,1.086057714578537,0.9403102668437248,74,254,575.398201766375,28.47400707036648,468.2116854333537,0,0,2,0,4,0,0,0,84.17110324788621,0,25.257635663802564,70.53272517177822,199.15181882286907,0,5,0,2405,0.025900542404940493,4.729357279180016,1727,474,106,92,2151,111,79,27,5.388411502212802,15,2.4201612305463054,7,243,6,235.08920386853788,770.3346514939192,3,542.7147076460035,2048.3714275726697,121,13,10.755935281791652,0,0,0,789.2953528936503,393.62811643647996,1092,3626,3416,9.581491118789568,19.77716244683682,63.422059479810784,1457,17,0,2.2233786880403357,6.951280085735754,24.799574313134983,0,1,True,vulnerable,2025-11-22,main,2025-11-22
