feature,importance
vuln_low_count,0.0800724559238491
vuln_medium_count,0.08
push_triggered_runs,0.08
pipeline_runs_total,0.07015976331360946
pipeline_runs_failed,0.06805346700083542
container_misconfigurations,0.062448979591836734
change_failure_rate,0.053489177489177496
workflows_concurrent_count,0.05321699215816863
security_risk_score,0.05
container_vulnerabilities,0.04591760698318075
artifacts_size_mb,0.04145833333333333
artifacts_generated_count,0.04
sast_code_smells,0.04
iac_misconfigurations,0.036
vuln_high_count,0.02
http_response_time_p99_ms,0.012648712866730144
dns_queries_count,0.008358732176913995
status_5xx_count,0.006989195678271307
commit_size_max_lines,0.006594210742817557
python_vulnerabilities,0.006390977443609023
main_branch_runs,0.006060606060606061
vuln_critical_count,0.005909090909090908
stage_security_scan_seconds,0.005764705882352942
files_changed_count,0.005612387612387613
pipeline_duration_max_seconds,0.005612387612387613
pipeline_duration_avg_seconds,0.005555555555555556
load_avg_1min,0.005355191256830602
container_memory_total_mb,0.004666666666666668
container_exit_code_0_count,0.004285714285714287
requests_get_count,0.004269780411293136
container_memory_avg_mb,0.004201388888888888
node_ready_count,0.004117647058823529
vuln_fixed_count,0.00409090909090909
stage_checkout_seconds,0.004000000000000001
network_rx_mb,0.003980861244019138
binary_files_changed_count,0.00393939393939394
network_policy_violations,0.00393939393939394
disk_usage_percent,0.003885375690882835
status_3xx_count,0.00362962962962963
pipeline_duration_anomaly_score,0.003333333333333333
workflow_queue_time_seconds,0.003168602825745684
container_exit_nonzero_count,0.003110047846889954
rollback_rate,0.0030612244897959195
readiness_probe_failures,0.0029090909090909093
scans_failed_count,0.0029090909090909093
pipeline_duration_std_seconds,0.0028402366863905324
memory_usage_percent,0.0028402366863905324
error_rate_percent,0.002818110850897734
service_uptime_percent,0.0028125
disk_io_write_mb,0.002805194805194805
bot_requests_count,0.002805194805194805
test_coverage_percent,0.002800000000000001
cve_count,0.0018448438978240305
lines_deleted_total,0.0015824175824175814
status_4xx_count,0.0015824175824175814
scale_up_events_count,0.0015824175824175814
memory_usage_max_mb,0.0015277777777777779
build_failures_count,0.0015104895104895107
unique_images_count,0.0014814814814814814
stage_docker_build_seconds,0.0
deployments_per_day,0.0
deployments_count,0.0
mttr_hours,0.0
test_coverage_delta,0.0
stage_test_seconds,0.0
stage_build_seconds,0.0
vuln_age_avg_days,0.0
vuln_new_count,0.0
secrets_verified_count,0.0
secrets_detected_count,0.0
npm_vulnerabilities,0.0
sast_security_issues,0.0
lead_time_hours,0.0
lint_failures_count,0.0
pipeline_success_rate,0.0
test_failures_count,0.0
cwe_count,0.0
scan_duration_avg_seconds,0.0
pipeline_runs_success,0.0
pipeline_runs_cancelled,0.0
code_review_time_avg_hours,0.0
